zipcode,all_reviews
10019,"Party of 5 Saturday night 5:30 resv. Got a cozy booth ( be sure to use the coat check). Washed up in their spotless and well decorated restroom. Waitress... Came here to see the Frank Sinatra tribute show. Singers were good, though some obviously better than others. One of the singers had an amazing voice and... Being from out of town and inspired by my love of the little supper club in my hometown known as the Greer Cabaret series I came to this venue. I was so..."
10003,"Great happy hour spot and food here is actually unexpectedly good. Get the chicken sandwich and the burger - one of the best I've had in a long tome! My... If you're looking for a Harry Potter-esque type bar, then this is your place. (I say that having visited Universal studios) It's a little dim on the inside,... I didn't want to go out at all, but one of my good Artist friend had a birthday celebration here, so I had to come and show him support. I m glad I came out..."
10014,"Came in here one late night with my boyfriend just to have some drinks at the bar. We had a lovely time, the vibe was great and people seemed to really... Amazing!!!  The food the service the drinks everything here was wonderful!!!  The space is so beautiful!!! Great for big parties!!  Thanks  for a great... No Review"
11211,"How have I never reviewed Baby's All Right before?

This is my favorite place to go out for bottomless brunch. It's excellent for groups especially. The... Visited Baby's All Right for brunch on a Sunday. Their bottomless brunch deal is pretty good, you get an entree and unlimited mimosas, bloody marys, and... Yesterday I went to brunch and the food was still excellent. Highly recommend the wake and bake.

However, our service was quite slow and our waitress did..."
10018,"Awesome beer selection and friendly staff.  We will put this on our list of stop by when we are in NYC We were staying at nearby hotel for a Broadway play, when we decided to have a bite there. It was ok. Higher expectations that didn't quite meet. 

The... I've been here before and has been good in the past. 
Worst part of this latest visit. I asked for a medium burger. Burger was small and more than well and..."
10065,"I stumbled into the Cheers of the UES. Everyone knew each other! It was really nice to small talk with bar flys, and was also a quiet place to sort out some... I wanted this to be me and my wife's new local spot. We were there this evening and put cash straight from their ATM into their jukebox. 2 songs in, Kyle... Nice spot!  Right next to Hunter College and the 6 train. Very close to the 7!  Food is alright and so is the drink menu. I like coming here for a quick..."
7030,"Can't go wrong with food trucks and beer overlooking NYC. Really cool place to bring visitors. This is the CUTEST most CHILL place ever! I absolutely LOVE IT HERE! It over looks New York City's downtown buildings, there's even a fountain that is on at... Heard about this place through a friend and immediately bookmarked it for the next time I was in Hoboken. It did not disappoint ! It is definitely a cute..."
10012,"3/10/20

I came here on a date and had an absolute blast. I saw Jackie fabulous and friends. Her show was hilarious! I can't remember who was funnier as... Awesome comedy club. Great spot to just kick back, have a few drinks and be entertained. In an hour show, you'll get to see about 4-5 different comedians.... Favorite comedy club and perfect for a date night or with a small group of friends. I recommend coming early and getting a seat in the front, so you get a)..."
7302,"5 stars for the ambiance, scenery, free parking, and typically great drinks. Minus 2 stars because the service is just usually terrible. Love coming here... DON'T order mixed drinks, especially the Miami Vice, Mango Tango, or any other silly named frozen drinks. You'll spend your day pondering if a bartender can... I recently came here to celebrate a friends birthday, and was shocked at how cool this place is!

First of all, once inside you'll find its absolutely HUGE...."
11101,"I came here on a Saturday night around 6pm. The place was spacious but there's only 8 lanes. You get a ticket number from the counter. We were 10th in line... I was meeting a group of friends here on Saturday afternoon for a birthday party. I definitely agree with the dive bar/bowling alley description - you walk... Bowling is truly a long lost activity. 
I really love that we have a bowling alley in LIC. It's such a fun activity that even if you're terrible, you still..."
